id,name,sex,type,nazi-weight,time?,chapter
CVSH,Chef des Vier-Sterne-Hotels in Passau,2,1,0,,11
KEFBS,Kumpel Eins von Felix Benneckenstein,2,1,NA,,11
KVDW,K.V.D.W. (Lied von FBS),NA,3,2,,12
BAF,Bock auf Freiheit (Album von FBS),NA,3,2,,12
FBSBE,Felix Benneckenstein Bruder Eins,2,1,0,,12
FBSBZ,Felix Benneckenstein Bruder Zwei,2,1,0,,12
FBSBD,Felix Benneckenstein Bruder Drei,2,1,0,,12
UDV,Udo Voigt,2,1,2,,13
THW,Thomas Wulff „Steiner“,2,1,2,,13
CHW,Christian Worch,2,1,2,,13
JOF,Joschka Fischer,2,1,0,,13
FFRB,Frau von Friedhelm Busse,1,1,NA,,13
PNP,Passauer Neue Presse,NA,3,0,,13
ANTF,Antifa-Fotograf für das Aida-Archiv,2,1,0,,13
DB,"Deutsche Behörden (Jugendamt, Arbeitsamt…)",NA,2,0,,14
PRF,Pro Familia,NA,2,0,,14
BBS,Baby Benneckenstein (Fehlgeburt),NA,1,0,,14
MIM,Michael Müller,2,1,2,,14
PHH,Philipp Hasselbach,2,1,2,,15
C,Cindy (Ex-Freundin von Phillipp Hasselbach) (Name geändert),1,1,1,,15
KZFBS,Kumpel Zwei von Felix Benneckenstein,2,1,2,,15
BIAS,Bürgerinitiative Ausländerstopp,NA,2,2,,15
KAR,Karl Richter,2,1,2,,15
TC,Tochter von Cindy,1,1,0,,15
KHS,Karl-Heinz Starnberger,2,1,2,,16
EXIT,Exit (Aussteigerorganisation),NA,2,0,,17
ABAY,Aussteigerhilfe Bayern (offiziell: „Verein zur Bewältigung neonazistischen Gedankgenguts und zur Förderung einer toleranten Gesellschaft – Aussteigerhilfe Bayern e.V.),NA,2,0,,17
ENK,Eltern von Nina aus der Kita,1,1,0,,18
ZEIT,Zeit Online,NA,3,0,,18
