id,name,sex,type,Nazi-weight
UDV,Udo Voigt,2,1,2
THW,Thomas Wulff Steiner,2,1,2
CHW,Christian Worch,2,1,2
JOF,Joschka Fischer,2,1,0
FFRB,Frau von Friedhelm Busse,1,1,5
PNP,Passauer Neue Presse,5,3,0
ANTF,Antifa-Fotograf für das Aida Archiv,2,1,0
DB,Deutsche Behörden Jugendamt Arbeitsamt,5,2,0
PRF,Pro Familia,5,2,0
BBS,Baby Benneckenstein Fehlgeburt,5,1,0
MIM,Michael Müller,2,1,2
PHH,Philipp Hasselbach,2,1,2
C,Cindy Ex Freundin von Phillipp Hasselbach Name geändert,1,1,1
KZFBS,Kumpel Zwei von Felix Benneckenstein,2,1,2
BIAS,Bürgerinitiative Ausländerstopp,5,2,2
KAR,Karl Richter,2,1,2
TC,Tochter von Cindy,1,1,0
KHS,Karl Heinz Starnberger,2,1,2
NS,Nationalsozialismus,0,4,3
EXIT,Exit Aussteigerorganisation,5,2,0
ABAY,Verein zur Bewältigung neonazistischen Gedankgenguts und zur Förderung einer toleranten Gesellschaft Aussteigerhilfe Bayern eV,5,2,0
ENK,Eltern von Nina aus der Kita,1,1,0
ZEIT,Zeit Online,5,3,0
SPO,Spiegel Online,5,3,0
KNSG,Konsumgesellschaft,5,4,0
EMKF,Emanzipierte Karriere Frauen,1,1,0
BTG,Betreuungsgeld,5,4,0
NPDLT,NDP Landtagsabgeordnete ,1,1,2
PNKM,Punk Mädchen aus Erding,1,1,0
EC,Erste Clique,5,2,1
